ID,TITLE,AUTHOR,IMAGE_URL,YEAR,PUBLISHER_ID
0195153448,Classical Mythology,Mark P. O. Morford,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,2002,317
0002005018,Clara Callan,Richard Bruce Wright,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,2001,653
0060973129,Decision in Normandy,Carlo D'Este,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,1991,1177
1552041778,Jane Doe,R. J. Kaiser,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,1999,318
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,1998,319
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,1998,1178
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,1999,842
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,1994,1179
0440234743,The Testament,John Grisham,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,1999,157
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,1994,843
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,1999,1180
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,2001,320
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,2003,1
0971880107,Wild Animus,Rich Shapero,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,2004,654
0345402871,Airframe,Michael Crichton,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,1997,1181
0345417623,Timeline,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,2000,1181
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,1996,482
0375759778,Prague : A Novel,ARTHUR PHILLIPS,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,2003,655
3404921038,Wie Barney es sieht.,Mordecai Richler,http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg,2002,656
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg,2001,657
3442410665,Sturmzeit. Roman.,Charlotte Link,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg,1991,657
3442446937,Tage der Unschuld.,Richard North Patterson,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg,2000,657
0375406328,Lying Awake,Mark Salzman,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,2000,658
0446310786,To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,1988,321
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,2002,1181
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg,1979,322
0671888587,I'll Be Seeing You,Mary Higgins Clark,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,1994,323
0553582747,From the Corner of His Eye,Dean Koontz,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,2001,1017
0425182908,Isle of Dogs,Patricia Cornwell,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,2002,483
042518630X,Purity in Death,J.D. Robb,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,2002,483
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,2000,324
0440225701,The Street Lawyer,JOHN GRISHAM,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,1999,157
0380715899,A Soldier of the Great War,Mark Helprin,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,1992,325
0961769947,Northwest Wines and Wineries,Chuck Hill,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,1993,158
0964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,2002,1182
0671623249,LONESOME DOVE,Larry McMurtry,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,1986,323
2070423204,Lieux dits,Michel Tournier,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,2002,159
042511774X,Breathing Lessons,Anne Tyler,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,1994,483
0804106304,The Joy Luck Club,Amy Tan,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,1994,659
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,1998,160
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,1997,160
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,2003,2
0140067477,The Tao of Pooh,Benjamin Hoff,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,1983,3
0345465083,Seabiscuit,LAURA HILLENBRAND,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,2003,1181
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg,1991,1018
0441783589,Starship Troopers,Robert A. Heinlein,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,1987,326
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg,1988,327
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg,1995,161
0375410538,Anil's Ghost,MICHAEL ONDAATJE,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg,2000,1183
0966986105,Prescription for Terror,Sandra Levy Ceren,http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg,1999,4
0316769487,The Catcher in the Rye,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg,1991,844
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg,2001,5
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg,2001,5
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg,2001,1019
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg,1994,328
0671867156,Pretend You Don't See Her,Mary Higgins Clark,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,1998,323
0312261594,Female Intelligence,Jane Heller,http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg,2001,660
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg,2002,6
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg,2000,1020
0451166892,The Pillars of the Earth,Ken Follett,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg,1996,484
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg,1995,7
0786868716,The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,2003,661
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg,2002,485
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg,1995,323
0446608653,The Alibi,Sandra Brown,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg,2000,1020
0446612545,The Beach House,James Patterson,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg,2003,1020
0553584383,Dead Aim,IRIS JOHANSEN,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg,2004,1017
0671027360,Angels &amp; Demons,Dan Brown,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg,2001,486
0316735736,All He Ever Wanted: A Novel,Anita Shreve,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg,2004,6
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg,2002,323
0380619458,The Mosquito Coast,Paul Theroux,http://images.amazon.com/images/P/0380619458.01.LZZZZZZZ.jpg,1990,845
0671042858,The Girl Who Loved Tom Gordon,Stephen King,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg,2000,323
0425184226,The Sum of All Fears,Tom Clancy,http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg,2002,483
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg,1999,328
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg,1998,1021
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg,1996,1021
0671004573,Before I Say Good-Bye,Mary Higgins Clark,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg,2001,323
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg,1994,1020
038572179X,Atonement : A Novel,IAN MCEWAN,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg,2003,1022
1900850303,The Angelic Darkness,Richard Zimler,http://images.amazon.com/images/P/1900850303.01.LZZZZZZZ.jpg,1999,487
1903019699,The Soulbane Stratagem,Norman Jetmundsen,http://images.amazon.com/images/P/1903019699.01.LZZZZZZZ.jpg,2000,8
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg,2002,1017
8420639133,Temor y Temblor,Soren Kierkegaard,http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg,2001,662
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg,2001,663
0380778556,Rebecca,Daphne Du Maurier,http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg,1994,488
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,http://images.amazon.com/images/P/0385336772.01.LZZZZZZZ.jpg,2003,162
0451452755,The Catswold Portal,Shirley Rousseau Murphy,http://images.amazon.com/images/P/0451452755.01.LZZZZZZZ.jpg,1993,163
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,http://images.amazon.com/images/P/0812575482.01.LZZZZZZZ.jpg,2002,664
0060801263,Tree Grows In Brooklyn,Betty Smith,http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg,1988,164
0061030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg,2001,325
0446527165,Wish You Well,David Baldacci,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg,2000,1020
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg,1982,323
0451206673,Pen Pals,Olivia Goldsmith,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg,2002,484
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,http://images.amazon.com/images/P/0399138684.01.LZZZZZZZ.jpg,1994,489
0553278223,The Martian Chronicles,RAY BRADBURY,http://images.amazon.com/images/P/0553278223.01.LZZZZZZZ.jpg,1984,846
3150000335,Kabale Und Liebe,Schiller,http://images.amazon.com/images/P/3150000335.01.LZZZZZZZ.jpg,,847
3257203659,Der illustrierte Mann. Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257203659.01.LZZZZZZZ.jpg,2002,1184
3257207522,Der K�?¶nig in Gelb.,Raymond Chandler,http://images.amazon.com/images/P/3257207522.01.LZZZZZZZ.jpg,1980,665
3257208626,Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg,1994,1185
3257208634,Die Mars- Chroniken. Roman in Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257208634.01.LZZZZZZZ.jpg,1981,665
3257208669,Das B�?¶se kommt auf leisen Sohlen.,Ray Bradbury,http://images.amazon.com/images/P/3257208669.01.LZZZZZZZ.jpg,2003,1184
3257210450,L�?¶wenzahnwein. Roman.,Ray Bradbury,http://images.amazon.com/images/P/3257210450.01.LZZZZZZZ.jpg,1999,665
3257212054,Das Kind von morgen. Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257212054.01.LZZZZZZZ.jpg,2000,665
3257212429,Die Mechanismen der Freude. Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257212429.01.LZZZZZZZ.jpg,2000,665
0684848783,Tis : A Memoir,Frank McCourt,http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg,1999,482
0743486226,Angels &amp; Demons,Dan Brown,http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg,2003,329
0804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,http://images.amazon.com/images/P/0804117934.01.LZZZZZZZ.jpg,1998,666
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg,2004,1022
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg,1993,319
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg,1996,848
0151008116,Life of Pi,Yann Martel,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,2002,9
0375704965,A Judgement in Stone,Ruth Rendell,http://images.amazon.com/images/P/0375704965.01.LZZZZZZZ.jpg,2000,667
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg,2003,165
0804111359,Secret History,DONNA TARTT,http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg,1993,1181
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg,1996,319
0316782505,The Weight of Water,Anita Shreve,http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg,2001,844
0060199563,Thief of Time,Terry Pratchett,http://images.amazon.com/images/P/0060199563.01.LZZZZZZZ.jpg,2001,1186
0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg,2002,1023
0140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,http://images.amazon.com/images/P/0140620664.01.LZZZZZZZ.jpg,1994,849
0312890044,Moonheart (Newford),Charles de Lint,http://images.amazon.com/images/P/0312890044.01.LZZZZZZZ.jpg,1994,490
0375751513,The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,http://images.amazon.com/images/P/0375751513.01.LZZZZZZZ.jpg,1998,850
0375823352,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,http://images.amazon.com/images/P/0375823352.01.LZZZZZZZ.jpg,2002,851
0439510112,Born Confused,Tanuja Desai Hidier,http://images.amazon.com/images/P/0439510112.01.LZZZZZZZ.jpg,2003,491
0440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg,2003,157
0451409256,Making Minty Malone,Isabel Wolff,http://images.amazon.com/images/P/0451409256.01.LZZZZZZZ.jpg,2000,10
0451526341,Animal Farm,George Orwell,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg,2004,492
0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,http://images.amazon.com/images/P/0486415864.01.LZZZZZZZ.jpg,2001,1187
0553280589,Eva Luna,Isabel Allende,http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg,1989,1017
0679423079,Nicholas Nickleby (Everyman's Library),Charles Dickens,http://images.amazon.com/images/P/0679423079.01.LZZZZZZZ.jpg,1993,658
0679751343,Angels &amp; Insects : Two Novellas,A.S. BYATT,http://images.amazon.com/images/P/0679751343.01.LZZZZZZZ.jpg,1994,7
0684833395,Catch 22,Joseph Heller,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg,1996,1188
0963094424,Angels and Visitations: A Miscellany,Neil Gaiman,http://images.amazon.com/images/P/0963094424.01.LZZZZZZZ.jpg,1993,668
1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)",Alan Moore,http://images.amazon.com/images/P/1401201172.01.LZZZZZZZ.jpg,2003,1189
1563892278,"Preludes and Nocturnes (Sandman, Book 1)",Neil Gaiman,http://images.amazon.com/images/P/1563892278.01.LZZZZZZZ.jpg,1998,1189
1563898586,"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,http://images.amazon.com/images/P/1563898586.01.LZZZZZZZ.jpg,2002,1189
156971620X,Harlequin Valentine,Neil Gaiman,http://images.amazon.com/images/P/156971620X.01.LZZZZZZZ.jpg,2002,493
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),Trudy Suggs,http://images.amazon.com/images/P/1592571301.01.LZZZZZZZ.jpg,2003,1024
0374270325,A Man in Full,Tom Wolfe,http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg,1998,494
0375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,http://images.amazon.com/images/P/0375719180.01.LZZZZZZZ.jpg,2002,667
0440235502,October Sky: A Memoir,Homer Hickam,http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg,1999,157
044023722X,A Painted House,John Grisham,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg,2001,1190
1573225487,The Romance Reader,Pearl Abraham,http://images.amazon.com/images/P/1573225487.01.LZZZZZZZ.jpg,1996,852
1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,http://images.amazon.com/images/P/1853260673.01.LZZZZZZZ.jpg,1997,160
0060977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg,1999,1021
0937858994,The What's Happening to My Body? Book for Boys: A Growing Up Guide for Parents and Sons,Lynda Madaras,http://images.amazon.com/images/P/0937858994.01.LZZZZZZZ.jpg,1987,166
0972044205,The Breach,Brian Kaufman,http://images.amazon.com/images/P/0972044205.01.LZZZZZZZ.jpg,2002,330
0345435869,The Rivan Codex : Ancient Texts of THE BELGARIAD and THE MALLOREON,DAVID EDDINGS,http://images.amazon.com/images/P/0345435869.01.LZZZZZZZ.jpg,1999,495
0812541642,Waiting,Frank M. Robinson,http://images.amazon.com/images/P/0812541642.01.LZZZZZZZ.jpg,2000,496
0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,http://images.amazon.com/images/P/0486282112.01.LZZZZZZZ.jpg,1994,1187
8483007010,El gust amarg de la cervesa (Collecció Clàssica),Isabel-Clara Simó,http://images.amazon.com/images/P/8483007010.01.LZZZZZZZ.jpg,1999,167
0385313748,All Our Yesterdays (Large Print),Robert B. Parker,http://images.amazon.com/images/P/0385313748.01.LZZZZZZZ.jpg,1994,1025
0684193957,ALL THAT REMAINS,Patricia Cornwell,http://images.amazon.com/images/P/0684193957.01.LZZZZZZZ.jpg,1992,482
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg,1998,1021
1573228737,Affinity,Sarah Waters,http://images.amazon.com/images/P/1573228737.01.LZZZZZZZ.jpg,2002,852
9681500555,Diario de Ana Frank,Anne Frank,http://images.amazon.com/images/P/9681500555.01.LZZZZZZZ.jpg,2000,1191
0380711109,Desert Notes/River Notes,Barry Lopez,http://images.amazon.com/images/P/0380711109.01.LZZZZZZZ.jpg,1990,853
0452283914,"The Best Democracy Money Can Buy: The Truth About Corporate Cons, Globalization and High-Finance Fraudsters",Greg Palast,http://images.amazon.com/images/P/0452283914.01.LZZZZZZZ.jpg,2003,168
3257214154,Familientreffen. Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257214154.01.LZZZZZZZ.jpg,2000,665
3257216416,Der Tod kommt schnell in Mexico. Erz�?¤hlungen.,Ray Bradbury,http://images.amazon.com/images/P/3257216416.01.LZZZZZZZ.jpg,1988,665
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,http://images.amazon.com/images/P/3257233051.01.LZZZZZZZ.jpg,2002,1019
342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,http://images.amazon.com/images/P/342311360X.01.LZZZZZZZ.jpg,,669
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,http://images.amazon.com/images/P/3423116714.01.LZZZZZZZ.jpg,1993,11
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,http://images.amazon.com/images/P/3423241489.01.LZZZZZZZ.jpg,1998,11
3426605686,Haifischfrauen.,Kiana Davenport,http://images.amazon.com/images/P/3426605686.01.LZZZZZZZ.jpg,1996,1192
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,http://images.amazon.com/images/P/3453212150.01.LZZZZZZZ.jpg,2002,169
3462021095,Schwarzer Tee mit drei Stück Zucker,Renan Demirkan,http://images.amazon.com/images/P/3462021095.01.LZZZZZZZ.jpg,1991,1193
3492045642,Quersch�?¼sse - Downsize This!,Michael Moore,http://images.amazon.com/images/P/3492045642.01.LZZZZZZZ.jpg,2003,1026
